GLO_WORD;GLO_TEXT
SYNCHRÓNNA ROTÁCIA;Keď nebeské teleso má svojú ROTÁCIU rovnú k svojej OBEŽNEJ DOBE okolo ineho nebeského telesa, vždy ukázuje rovnakú hemisféru hypotetickému pozorovateľovy umiestneného na druhom telese. To je prípad Mesiaca že vždy ukázuje svojú PRIVRÁTENÚ STRANU Zemy.
SYNODICKÝ MESIAC;Tiež nazývaný LUNÁRNY MESIAC alebo SYNODICKÁ OBEŽNÁ DOBA. Časová perióda oddeľujúci dve nasledujúce NOVy.
SYNODICKÁ OBEŽNÁ DOBA;Tiež nazývaná LUNÁCIA alebo LUNÁRNY MESIAC. Časová perióda oddeľujúci dve identické mesašné FÁZY.
TERMINÁTOR;Zóna na mesačnom disku ktorá je hranicou medzi osvetlenou a neosvetlenou časťou. VEČERNÝ TERMINÁTOR sa môže pozorovať večer medzi NOVom a SPLNom a RANNÝ TERMINÁTOR ráno medzi SPLNom a NOVom.
ÚDOLIE;Priamočiara formácia spôsobená zosunutím zeme alebo vytvorený pri významnom dopade meteoritu.
ÚPLNÉ ZATMENIE;ˇÚplné zatmenie Slnka alebo Mesiaca nastáva keď clonené teleso je kompletne zaclonené iným nebeským telesom.
UNIKOVÁ RÝCHLOSŤ;Minimálna rýchlosť pre uniknutie z gravitačnej príťažlivosti nebeského telesa.
UZLOVÁ ČIARA;Čiara spajajúca pretinajúce body orbity Mesiaca a EKLIPTIKY. Poznáme VZOSTUPNÝ UZOL a ZOSTUPNÝ UZOL. Uzlová čiara urobý kompletnú cestu každých 18,61 rokov.
VALLIS;Latinký termín používaný International Astronomical Union (IAU) pre oficiálne pomenovanie ÚDOLIA.
VALOVÁ PLANINA;Veľký polomer KRÁTER TVARUJÚCEJ FORMÁCIE (viac než 50 míľ) a obsahujúci ploché a rozšírujúce sa DNO.
VEČERNÝ TERMINÁTOR;Večerný terminátor je mesačná plocha kde Slnko klesá na obzor. Pre pozemského pozorovateľa, sa môže pozorovať medzi SPLNom a NOVom... ráno.
VEK MESIACA;Časová perióda v dňoch uplynutých od posledného NOVu.
VRASKOVÝ HREBEŇ;Hornatý a spojitý hrebeň s jemnými svahmy a malou výškou. Ich pôvod je asi vulkanický.
VRASKOVÝ HREBEŇOVÝ SYSTÉM;Niektoré VRASKOVÉ HREBEŇE umiestnené na povrchu rovnakého mesačného MORA.
VYPUKLÝ MESIAC;Populárny výraz popisujúci nie celkom okrúhly Mesiac medzi PRVOU ŠTVRŤOU a SPLNom, a medzi SPLNom a POSLEDNOU ŠTVRŤOU.
VRCHOL;V DB-MESIACA, výška formácie je v skutočnosti jeho RELATÍVNA ALTITÚDA vzhľadom na okolitý povrch.
ZATMENIE MESIACA;Zmiznutie mesačného disku keď prejde cez zemský tieň. Tento úkaz nastane len cez SPLN keď Slnko, Zem a Mesiac sú na rovnakej linií.
ZATMENIE SLNKA;Zmiznutie slnečného disku za mesačný disk cez niektoré vzácne NOVy keď stred Slnka, Mesiaca a Zeme sú presne na rovnakej linií.
ZÁLIV;Typ MORA a málo rozšírená plocha s plochým a tmavým DNOm zarnutý v KONTINENTe alebo na brehu MORA.
ZDANLIVÁ ALTITÚDA;Altitúdy dané v DB-MESIACA sú relatívne altitúdy tiež nazývané výška. Udávajú výšku formácie vzťahujúci sa na okolitý povrch.
ZEMSKÝ JAS;Odpovedajúci MESAČNÉMU TIEŇU pre hypotetického obyvateľa Mesiaca.
ZRÁZ;Svah oddeľujúci dve súsediace oblasti s rozličnými RELATIVNÝMI ALTITÚDAMI.
