GLO_WORD;GLO_TEXT
ECLISSE PARZIALE;Una eclisse parziale di Luna o di Sole avviene quando il corpo occultante non nasconde completamente l'altro corpo celeste.
ECLISSE TOTALE;Una eclisse totale di Sole o di Luna avviene quando un corpo celeste occulta completamente un altro corpo celeste.
ECLITTICA;Intersezione, con la sfera celeste, del piano dell'orbita della Terra attorno al Sole.
ETA' DELLA LUNA;Numero di giorni trascorsi dall'ultima LUNA NUOVA.
FACCIA NASCOSTA;Parte della superficie lunare situata sull'altro lato del globo e mai visibile dalla Terra. Una piccola zona della faccia nacosta della Luna può divenire visibile durante un periodo di LIBRAZIONE favorevole.
FACCIA VISIBILE;Lato del globo lunare che è sempre visibile dalla Terra.
FASE;Uno dei diversi aspetti della Luna, dovuti alla variazione dell'illuminazione solare sulla FACCIA VISIBILE, e corrispondenti ad una differente posizione del TERMINATORE sul globo lunare. Le fasi principali sono quattro: LUNA NUOVA, PRIMO QUARTO, LUNA PIENA, ULTIMO QUARTO.
FONDO;Parte interna di una FORMAZIONE CRATERIFORME, che si trova alla base di una PARETE.
FORMAZIONE CRATERIFORME;Una formazione crateriforme di origine meteoritica (CRATERE, PICCOLO CRATERE e CIRCO) comporta dei versanti (ved. VERSANTE) che si elevano dal terreno circostante, formando una PARETE con una pendìo discendente verso l'interno della formazione, e un FONDO.
GOLFO;Tipo di MARE poco esteso, con il FONDO piatto e scuro, inserito in un CONTINENTE o situato sul bordo di un mare.
IAU;International Astronomical Union (Unione Astronomica Internazionale).
LACUS;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un LAGO.
LAGO;Zona di piccola estensione e simile a un MARE, con un FONDO piatto e scuro completamente incluso in un CONTINENTE.
LARGHEZZA;Una delle due dimensioni di una FORMAZIONE CRATERIFORME. Spesso è abbastanza simile alla LUNGHEZZA, in quanto molte formazioni hanno una struttura quasi circolare, data la loro origine da impatto meteoritico.
LATITUDINE SELENOGRAFICA;La latitudine delle formazioni lunari è espressa in gradi d'arco. Il Nord è in alto, il Sud in basso, per la Luna osservata ad occhio nudo. Le latitudini delle formazioni situate a Sud dell'equatore lunare sono negative.
LAVA;Roccia liquida ad alta temperatura che si espande da una formazione vulcanica. Le colate di lava sono i componenti essenziali dei mari lunari (ved. MARE).
LIBRAZIONE;Apparente oscillazione della Luna per un osservatore terrestre. Per tale effetto, è possibile osservare una piccola zona della FACCIA NASCOSTA. Esistono tre tipi di librazione: la LIBRAZIONE IN LATITUDINE, la LIBRAZIONE IN LONGITUDINE e la LIBRAZIONE DIURNA.
LIBRAZIONE DIURNA;Detta anche librazione parallattica, è dovuta al fatto che l'osservatore non si trova al centro della Terra, ma sulla sua superficie. Questo effetto di parallasse può raggiungere al massimo 32" d'arco.
LIBRAZIONE FISICA;E' una reale oscillazione dell'asse di rotazione della Luna. Il fenomeno è limitato a pochi minuti d'arco, ed è dovuto a variazioni dell'attrazione terrestre, causate da disomogeneità all'interno della Luna.
LIBRAZIONE IN LATITUDINE;Poiché il piano dell'orbita lunare è inclinato rispetto a quello dell'orbita della Terra attorno al Sole, è possibile vedere delle piccole zone, a nord e a sud, della FACCIA NASCOSTA della Luna.
LIBRAZIONE IN LONGITUDINE;A causa del fatto che la velocità di ROTAZIONE della Luna è costante, mentre la sua velocità di RIVOLUZIONE lungo la sua orbita è variabile, la librazione in longitudine permette di vedere dalla Terra le zone limitrofe Est e Ovest della FACCIA NASCOSTA della Luna.
LINEA DEI NODI;Linea che rappresenta l'intersezione tra il piano dell'orbita terrestre (ECLITTICA) e il piano dell'orbita lunare. La proiezione di questa linea sulla sfera celeste indica il NODO ASCENDENTE e il NODO DISCENDENTE. La linea dei nodi compie una rivoluzione completa, in senso retrogrado, in 18,61 anni.
LONGITUDINE SELENOGRAFICA;La latitudine delle formazioni lunari è espressa in gradi d'arco. L'Est è a destra, l'Ovest a sinistra, per la Luna osservata ad occhio nudo. La longitudine delle formazioni lunari situate ad Ovest del meridiano centrale sono negative.
LUCE CINEREA;Fenomeno lunare che si verifica tra la LUNA NUOVA e il PRIMO QUARTO o l'ULTIMO QUARTO, quando la Luna ha la forma di una falce. La parte non illuminata del disco lunare è leggermente visibile, poiché riceve la luce riflessa dalla Terra.
LUNA;Serie di sonde lunari lanciate dall'Unione Sovietica.
LUNA CALANTE;Espressione popolare per indicare il periodo tra la LUNA PIENA e la LUNA NUOVA e che include l'ULTIMO QUARTO.
LUNA CRESCENTE;Espressione popolare per indicare il periodo tra la LUNA NUOVA e la LUNA PIENA e che include il PRIMO QUARTO.
LUNA GIBBOSA;Espressione popolare per indicare la Luna non completamente rotonda tra il PRIMO QUARTO e la LUNA PIENA, oppure tra l'ULTIMO QUARTO e la LUNA NUOVA.
LUNA NUOVA;FASE durante la quale la Luna ci presenta la sua faccia non illuminata dal Sole e quindi invisibile, poiché passa tra il Sole e la Terra. E' il punto di partenza di una nuova LUNAZIONE, e una situazione adatta per una eventuale ECLISSE DI SOLE.
LUNA PIENA;Aspetto del disco lunare completamente illuminato dal Sole. Questa FASE si verifica quando il Sole, la Terra e la Luna si trovano sulla stessa linea.
LUNAKHOD;Serie di veicoli sovietici portati sulla superficie lunare da due sonde LUNA.
LUNAR ORBITER;Serie di sonde americane, poste in orbita attorno alla Luna.
LUNAZIONE;Detta anche MESE LUNARE oppure RIVOLUZIONE SINODICA. E' l'intervallo di tempo tra due posizioni consecutive di FASE lunare identica.
LUNGHEZZA;Una delle due dimensioni di una FORMAZIONE CRATERIFORME. Spesso è abbastanza simile alla LARGHEZZA, in quanto molte formazioni hanno una struttura quasi circolare, data la loro origine da impatto meteoritico.
MARE;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un mare. Si tratta di zone ampie, piatte e scure, al cui interno può essere presente una DORSALE, un SOLCO, o più di un CRATERE isolato. I mari sono stati prodotti da flussi di LAVA di tipo basaltico (ved. BASALTO) di origine interna.
MASCON;Viene dalle parole inglesi "Mass Concentration" (Concentrazione di Masse). Si tratta di grandi concentrazioni di masse sepolte sotto la superficie dei mari lunari, in cui la densità della materia è superiore a quella della media lunare. Potrebbe trattarsi di meteoriti da cui il MARE ha avuto origine.
MERIDIANO;Linea immaginaria che passa per i due poli della Luna, e che permette di determinare la LONGITUDINE SELENOGRAFICA delle formazioni lunari.
MESE ANOMALISTICO;Intervallo di tempo tra due passaggi consecutivi della Luna al PERIGEO.
MESE LUNARE;Detto anche MESE SINODICO oppure RIVOLUZIONE SINODICA. Intervallo di tempo tra due fasi consecutive di LUNA NUOVA.
MESE SIDERALE;Detto anche RIVOLUZIONE SIDERALE. Intervallo di tempo compreso tra due congiunzioni successive con la stessa stella.
MESE SINODICO;Detto anche MESE LUNARE oppure RIVOLUZIONE SINODICA. Intervallo di tempo tra due fasi consecutive di LUNA NUOVA.
MONS;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una MONTAGNA isolata.
MONTAGNA;Si tratta di un rilievo sulla superficie lunare. Le montagne lunari hanno avuto origine all'incirca durante la formazione dei mari (ved. MARE). La loro ALTEZZA può raggiungere i 7000 metri. Può trattarsi talvolta di una montagna isolata (MONS) o di una CATENA MONTUOSA (in latino MONTES).
MONTES;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una CATENA MONTUOSA.
NODO ASCENDENTE;Uno dei due punti di interezione della LINEA DEI NODI con la sfera celeste.
NODO DISCENDENTE;Uno dei due punti di interezione della LINEA DEI NODI con la sfera celeste.
NOMENCLATURA LUNARE;Insieme dei nomi delle formazioni lunari, ufficialmente adottati dall'Unione Astronomica Internazionale (IAU).
OCEANO;Nome dato da Riccioli ad un solo MARE lunare : l' "Oceano delle Tempeste".
OCEANUS;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un OCEANO.
PALUDE;Formazione simile ad un MARE, con il FONDO piuttosto scuro e di estensione limitata.
PALUS;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una PALUDE lunare.
PARALLELO;Linea immaginaria, parallela all'equatore lunare, ed usata per determinare la LATITUDINE SELENOGRAFICA di una formazione lunare.
PARETE;Parte di una FORMAZIONE CRATERIFORME situata tra l'orlo superiore del VERSANTE e il FONDO. La sua ALTEZZA varia da "poco elevata"  ( <1.000 m ) a "molto elevata" ( >4.000 m ).
PERIGEO;Posizione più vicina di un corpo celeste in orbita ellittica attorno alla Terra.
PICCOLO CRATERE;FORMAZIONE CRATERIFORME di piccolo diametro (in genere, meno di 10 Km) a forma di conca con il FONDO arrotondato.
PRIMO QUARTO;Aspetto del disco lunare illuminato a metà dal Sole, circa 7 giorni dopo la LUNA NUOVA. Il primo quarto si osserva di sera. Il Sole e la Luna, per un osservatore terrestre, si trovano a 90° l'uno dall'altra.
PROMONTORIO;Formazione montuosa, che spesso di trova situata sul bordo di un MARE.
PROMONTORIUM;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un PROMONTORIO.
RANGER;Sonde americane giunte sulla superficie lunare.
REGOLITE;Strato di polvere lunare superficiale, profondo diversi metri, generato dalla frammentazione degli strati rocciosi della superficie lunare, sotto l'effetto del continuo bombardamento di micrometeoriti.
RIMA;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un SOLCO.
RIMAE;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un SISTEMA DI SOLCHI.
RIVOLUZIONE;Tempo necessario, per un dato corpo celeste, per compiere un giro completo attorno al suo astro principale. Esiste una RIVOLUZIONE SIDERALE e una RIVOLUZIONE SINODICA, a seconda del riferimento adottato.
RIVOLUZIONE SIDERALE;Tempo necessario, per un dato corpo celeste, per compiere un giro completo nel cielo, rispetto alle stelle fisse, visto da un osservatore terrestre.
RIVOLUZIONE SINODICA;Detto anche MESE LUNARE oppure LUNAZIONE. Intervallo di tempo tra due posizioni consecutive di FASE lunare identica.
ROTAZIONE;Tempo impiegato da un corpo celeste per effettuare un giro completo attorno al proprio asse, visto da un osservatore esterno.
ROTAZIONE SINCRONA;Avviene quando un corpo celeste impiega lo stesso tempo a compiere una ROTAZIONE attorno al  proprio asse e una RIVOLUZIONE attorno all'astro principale. In tal caso, il corpo celeste presenta sempre lo stesso emisfero vero un ipotetico osservatore posto sull'astro principale. E' il caso della Luna, che presenta sempre la sua FACCIA VISIBILE verso la Terra.
RUPES;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una SCARPATA.
SCARPATA;Zona in pendenza che separa due aree contigue con differenti valori di ALTITUDINE RELATIVA.
SELENODESIA;Branca dell'Astronomia che studia la forma, le dimensioni e l'influenza gravitazionale della Luna.
SELENOGRAFIA;Branca dell'Astronomia che studia la superficie lunare. Essa comprende la descrizione delle formazioni lunari e lo sviluppo della NOMENCLATURA LUNARE.
SINUS;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente un GOLFO lunare.
SISTEMA DI CUPOLE;Complesso di cupole (ved. CUPOLA) vulcaniche raggruppate in una medesima regione lunare.
SISTEMA DI DORSALI;Insieme costituito da più di una DORSALE, situato sulla superficie di uno stesso MARE lunare.
SISTEMA DI SOLCHI;Insieme di solchi lunari (ved. SOLCO) connessi tra loro e aventi una comune origine.
SOLCO;Formazione lineare e sinuosa, generalmente presente nei mari (ved. MARE). Si tratta certamente di antichi flussi di LAVA oppure di fiumi sotterranei di lava, la cui copertura è collassata.
SURVEYOR;Serie di sonde americane che sono arrivate sulla Luna.
TERMINATORE;Zona del disco lunare, che costituisce la separazione tra la parte illuminata e la parte oscura. Il TERMINATORE MATTUTINO può essere osservato di sera, tra la LUNA NUOVA e la LUNA PIENA, e il TERMINATORE SERALE, tra la LUNA PIENA e la LUNA NUOVA.
TERMINATORE MATTUTINO;Il terminatore mattutino è la zona dove il Sole sorge sulla Luna. Per un osservatore terrestre può essere osservato tra la LUNA NUOVA e la LUNA PIENA... di sera.
TERMINATORE SERALE;Il terminatore serale è la zona della Luna dove il Sole tramonta. Per un osservatore terrestre può essere osservato tra la LUNA PIENA e la LUNA NUOVA... di mattina.
TOPONOMASTICA LUNARE;Origine dei nomi delle formazioni lunari.
UAI;Unione Astronomica Internazionale.
ULTIMO QUARTO;Aspetto del disco lunare illuminato a metà dal Sole, circa 7 giorni dopo la LUNA PIENA. L'ultimo quarto si osserva di mattina. Il Sole e la Luna, per un osservatore terrestre, si trovano a 90° l'uno dall'altra.
VALLE;Formazione rettilinea causata dal collassamento di una parte di terreno oppure formata dall'allineamento di più crateri (ved. CRATERE) generati da un importante caduta di meteoriti.
VALLIS;Termine latino usato dalla International Astronomical Union (IAU) per indicare ufficialmente una VALLE.
VELOCITA' DI FUGA;Minima velocità richiesta per sfuggire dall'attrazione gravitazionale di un corpo celeste.
VERSANTE;Parte di una FORMAZIONE CRATERIFORME, che, partendo dal terreno circostante, si innalza fino alla sommità della "PARETE". Il suo aspetto può essere "piatto" fino a "molto scosceso". E' detto "tormentato" se presenta valli (ved. VALLE)  radiali.
ZONA DELLE LIBRAZIONI;Zona limitrofa tra la FACCIA VISIBILE e la FACCIA NASCOSTA, situata nelle vicinanze del MERIDIANO 90° Ovest e del meridiano 90° Est, resa alternativamente visibile o nascosta, a seconda dei fenomeni di LIBRAZIONE lunare.
